# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing_Constant_Chord_S12_t2,0,AIPSNMNCMS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 9.347173333333333858e+02, 0.000000000000000000e+00, 7.675700000000000500e+01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,95,57
# x,y,z,u,w
1.039461558610614929e+03, 0.000000000000000000e+00, 6.943257025686685324e+01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.038377762152673768e+03, 0.000000000000000000e+00, 6.944952559865568276e+01, 0.000000000000000000e+00, 2.430259472281824998e-02
1.036978969373749806e+03, 0.000000000000000000e+00, 6.947295736357415308e+01, 0.000000000000000000e+00, 5.050639827660199921e-02
1.035186364934866106e+03, 0.000000000000000000e+00, 6.950573091724686492e+01, 0.000000000000000000e+00, 8.408842869138971610e-02
1.032909811789228343e+03, 0.000000000000000000e+00, 6.955219867512020926e+01, 0.000000000000000000e+00, 1.267384077919622709e-01
1.030051733981224288e+03, 0.000000000000000000e+00, 6.961902028913387142e+01, 0.000000000000000000e+00, 1.802865772028094671e-01
1.026514999543531530e+03, 0.000000000000000000e+00, 6.971634202315985362e+01, 0.000000000000000000e+00, 2.465569521103265771e-01
1.022215868050586323e+03, 0.000000000000000000e+00, 6.985890067483653354e+01, 0.000000000000000000e+00, 3.271265530007564371e-01
1.017101791713138368e+03, 0.000000000000000000e+00, 7.005911117303094215e+01, 0.000000000000000000e+00, 4.229896471978613626e-01
1.011172118456359385e+03, 0.000000000000000000e+00, 7.032057311086920492e+01, 0.000000000000000000e+00, 5.341638050791903680e-01
1.004497180797260967e+03, 0.000000000000000000e+00, 7.063421246772199424e+01, 0.000000000000000000e+00, 6.593271691796573908e-01
9.972285676315301544e+02, 0.000000000000000000e+00, 7.097434704159626051e+01, 0.000000000000000000e+00, 7.956214758991604352e-01
9.895938971884991133e+02, 0.000000000000000000e+00, 7.130187747970953183e+01, 0.000000000000000000e+00, 9.387549685340326189e-01
9.818728644679481476e+02, 0.000000000000000000e+00, 7.157171233876859162e+01, 0.000000000000000000e+00, 1.083463136197525767e+00
9.743586510671426595e+02, 0.000000000000000000e+00, 7.174669656623403569e+01, 0.000000000000000000e+00, 1.224247633648195999e+00
9.673149812821570777e+02, 0.000000000000000000e+00, 7.180783563301343975e+01, 0.000000000000000000e+00, 1.356185914353831290e+00
9.609413699667636592e+02, 0.000000000000000000e+00, 7.177383465547151786e+01, 0.000000000000000000e+00, 1.475569360029119759e+00
9.553548051426849952e+02, 0.000000000000000000e+00, 7.174700131609547782e+01, 0.000000000000000000e+00, 1.580210469289622388e+00
9.505935724835117071e+02, 0.000000000000000000e+00, 7.181522203604845345e+01, 0.000000000000000000e+00, 1.669402876854242823e+00
9.466358725098372133e+02, 0.000000000000000000e+00, 7.201698470632253191e+01, 0.000000000000000000e+00, 1.743634812958920088e+00
9.434206191011371629e+02, 0.000000000000000000e+00, 7.235453422051068628e+01, 0.000000000000000000e+00, 1.804198460601388332e+00
9.408662179221113320e+02, 0.000000000000000000e+00, 7.281076784258395662e+01, 0.000000000000000000e+00, 1.852813419060230116e+00
9.388857806558671655e+02, 0.000000000000000000e+00, 7.336088808648425186e+01, 0.000000000000000000e+00, 1.891330107693332874e+00
9.373965059311519781e+02, 0.000000000000000000e+00, 7.397582175844239316e+01, 0.000000000000000000e+00, 1.921531197332539298e+00
9.363233465922993446e+02, 0.000000000000000000e+00, 7.462196623110280314e+01, 0.000000000000000000e+00, 1.945019934451106325e+00
9.355945875419504318e+02, 0.000000000000000000e+00, 7.525878867497780789e+01, 0.000000000000000000e+00, 1.963172735748708320e+00
9.351347292014363575e+02, 0.000000000000000000e+00, 7.584406048234333753e+01, 0.000000000000000000e+00, 1.977133154841416829e+00
9.348653939413886746e+02, 0.000000000000000000e+00, 7.634687847305566777e+01, 0.000000000000000000e+00, 1.987828994456042331e+00
9.347173333333333858e+02, 0.000000000000000000e+00, 7.675700000000000500e+01, 0.000000000000000000e+00, 2.000000000000000000e+00
9.346183772649312687e+02, 0.000000000000000000e+00, 7.721350755068091587e+01, 0.000000000000000000e+00, 2.012171005543957669e+00
9.345854019964363033e+02, 0.000000000000000000e+00, 7.782364483439469893e+01, 0.000000000000000000e+00, 2.022866845158583171e+00
9.346968622549022712e+02, 0.000000000000000000e+00, 7.861297894018913723e+01, 0.000000000000000000e+00, 2.036827264251291680e+00
9.350516682747056620e+02, 0.000000000000000000e+00, 7.958689011353501996e+01, 0.000000000000000000e+00, 2.054980065548893453e+00
9.357502384048541444e+02, 0.000000000000000000e+00, 8.073243224437501908e+01, 0.000000000000000000e+00, 2.078468802667460480e+00
9.368887493280803938e+02, 0.000000000000000000e+00, 8.202937010237231164e+01, 0.000000000000000000e+00, 2.108669892306667126e+00
9.385684417646394877e+02, 0.000000000000000000e+00, 8.345269868205969033e+01, 0.000000000000000000e+00, 2.147186580939769662e+00
9.409011583477497425e+02, 0.000000000000000000e+00, 8.496366539483115332e+01, 0.000000000000000000e+00, 2.195801539398611890e+00
