# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing(W4b2_w3),0,KBDPXKPDGL,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 9.347173333333333858e+02, 0.000000000000000000e+00, 7.675700000000000500e+01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,27,57
# x,y,z,u,w
1.073523811558235366e+03, 1.127773430198430975e-14, 7.162595696567125003e+01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.072076709897048886e+03, 2.896408295686932952e-15, 7.169610889482838445e+01, 0.000000000000000000e+00, 2.430259472281824998e-02
1.070212445314934030e+03, 7.679028245861335907e-15, 7.185847340831513463e+01, 0.000000000000000000e+00, 5.050639827660199921e-02
1.067816055676461474e+03, 2.943422026439161984e-15, 7.195747180091150597e+01, 0.000000000000000000e+00, 8.408842869138971610e-02
1.064770093172541465e+03, 6.300484602879931718e-15, 7.199025919544371277e+01, 0.000000000000000000e+00, 1.267384077919622709e-01
1.060946032285088222e+03, -2.968321247294717344e-15, 7.193239448295253169e+01, 0.000000000000000000e+00, 1.802865772028094671e-01
1.056218231192046460e+03, 5.363405897368658274e-16, 7.171101536844354030e+01, 0.000000000000000000e+00, 2.465569521103265771e-01
1.050489652525231350e+03, -4.297197200714159923e-15, 7.116976819201076410e+01, 0.000000000000000000e+00, 3.271265530007564371e-01
1.043700790166376009e+03, -2.283235098972645633e-16, 7.028180751483616007e+01, 0.000000000000000000e+00, 4.229896471978613626e-01
1.035847401858220792e+03, 2.277505345272228655e-15, 6.910954694979058388e+01, 0.000000000000000000e+00, 5.341638050791903680e-01
1.027012153099319676e+03, 8.281627397701314846e-16, 6.774767349258394233e+01, 0.000000000000000000e+00, 6.593271691796573908e-01
1.017364194353846187e+03, -2.270266513197952127e-15, 6.645614424855696711e+01, 0.000000000000000000e+00, 7.956214758991604352e-01
1.007174566498035460e+03, -4.675913481102552284e-15, 6.564866278298661939e+01, 0.000000000000000000e+00, 9.387549685340326189e-01
9.968433615771123186e+02, -6.027691116803219408e-16, 6.537639971253975091e+01, 0.000000000000000000e+00, 1.083463136197525767e+00
9.867890614355151229e+02, 4.047639074208370001e-15, 6.548670439883059657e+01, 0.000000000000000000e+00, 1.224247633648195999e+00
9.773739446010523579e+02, 2.332960932798085863e-15, 6.587607263743595354e+01, 0.000000000000000000e+00, 1.356185914353831290e+00
9.688695349098098859e+02, 8.690616252535184265e-15, 6.648865765769735958e+01, 0.000000000000000000e+00, 1.475569360029119759e+00
9.614380521747493731e+02, 1.238120905135970280e-14, 6.727980974621335974e+01, 0.000000000000000000e+00, 1.580210469289622388e+00
9.551327561036271163e+02, 5.331882200990904526e-15, 6.818591690791896553e+01, 0.000000000000000000e+00, 1.669402876854242823e+00
9.499169419776824270e+02, 1.133061295413058376e-14, 6.913594430313574435e+01, 0.000000000000000000e+00, 1.743634812958920088e+00
9.456979769312476947e+02, -3.404570833933690669e-15, 7.008925249014313863e+01, 0.000000000000000000e+00, 1.804198460601388332e+00
9.423574642397499019e+02, 6.423502337374765496e-15, 7.103502880189907387e+01, 0.000000000000000000e+00, 1.852813419060230116e+00
9.397699050422554592e+02, -4.307161291168555067e-16, 7.196746589956067908e+01, 0.000000000000000000e+00, 1.891330107693332874e+00
9.378040522656256144e+02, -8.320125546956794503e-15, 7.285457663468278611e+01, 0.000000000000000000e+00, 1.921531197332539298e+00
9.363528593764958714e+02, 6.325403563572151451e-15, 7.369564800756802470e+01, 0.000000000000000000e+00, 1.945019934451106325e+00
9.353901627289917542e+02, 6.154894103975203579e-15, 7.455845355603850066e+01, 0.000000000000000000e+00, 1.963172735748708320e+00
9.349103023449293914e+02, 7.264188575577355928e-15, 7.542920501547641265e+01, 0.000000000000000000e+00, 1.977133154841416829e+00
9.347465965207422869e+02, 6.008141458416676071e-15, 7.617424509196058580e+01, 0.000000000000000000e+00, 1.987828994456042331e+00
9.347173333333333858e+02, 6.002665031701326337e-15, 7.675700000000000500e+01, 0.000000000000000000e+00, 2.000000000000000000e+00
9.347546140864860718e+02, 6.183263442651723184e-15, 7.735415574792014581e+01, 0.000000000000000000e+00, 2.012171005543957669e+00
9.348942513053185621e+02, 6.769990415364805680e-15, 7.812457925131164416e+01, 0.000000000000000000e+00, 2.022866845158583171e+00
9.352227434328329991e+02, 8.353254773284507310e-15, 7.909231725178860017e+01, 0.000000000000000000e+00, 2.036827264251291680e+00
9.358791165025271539e+02, 1.887059717115171160e-15, 8.024644296521488229e+01, 0.000000000000000000e+00, 2.054980065548893453e+00
9.370135368860002245e+02, 8.464114704251152618e-15, 8.153732213129813999e+01, 0.000000000000000000e+00, 2.078468802667460480e+00
9.387448044886351681e+02, -4.196539106764500716e-15, 8.291144947547881827e+01, 0.000000000000000000e+00, 2.108669892306667126e+00
9.411999995607998244e+02, -4.867643818655634734e-15, 8.429660116305963413e+01, 0.000000000000000000e+00, 2.147186580939769662e+00
9.445102406228038490e+02, 5.763556824480235228e-15, 8.560387200458526991e+01, 0.000000000000000000e+00, 2.195801539398611890e+00
9.487766944369448083e+02, 9.073408995710385256e-15, 8.681394282729878853e+01, 0.000000000000000000e+00, 2.256365187041080134e+00
9.540998119355386962e+02, 8.961123446867495001e-15, 8.791674780312867199e+01, 0.000000000000000000e+00, 2.330597123145757177e+00
9.605623014111516795e+02, 1.118516967498653605e-14, 8.886687785963910358e+01, 0.000000000000000000e+00, 2.419789530710377612e+00
9.681906599698274931e+02, 6.160469871399320640e-15, 8.959998115536377838e+01, 0.000000000000000000e+00, 2.524430639970880463e+00
9.769226460421873526e+02, -2.032249240813342393e-15, 9.004533046488988646e+01, 0.000000000000000000e+00, 2.643814085646168710e+00
9.865850830154192863e+02, -1.014904618055171059e-15, 9.012865372867932479e+01, 0.000000000000000000e+00, 2.775752366351804223e+00
9.968898188186867628e+02, 2.102086270086080095e-16, 8.977897542487177418e+01, 0.000000000000000000e+00, 2.916536863802474233e+00
1.007454714138264080e+03, -2.674148737284006440e-15, 8.894430282433404500e+01, 0.000000000000000000e+00, 3.061245031465967159e+00
1.017842299260589698e+03, -1.481926389044495050e-15, 8.754220155122169444e+01, 0.000000000000000000e+00, 3.204378524100839343e+00
1.027627234284097085e+03, 5.780061163985137229e-16, 8.557312527303170668e+01, 0.000000000000000000e+00, 3.340672830820342831e+00
1.036510395854066701e+03, 3.046428622003081069e-15, 8.331093132510497412e+01, 0.000000000000000000e+00, 3.465836194920809632e+00
1.044334645843185626e+03, 4.233632398441092215e-15, 8.105674911327011500e+01, 0.000000000000000000e+00, 3.577010352802138637e+00
1.051047107894088413e+03, 7.095832634253910237e-16, 7.899751686137160789e+01, 0.000000000000000000e+00, 3.672873446999243452e+00
1.056673646851807462e+03, -1.254049488274958246e-15, 7.721840778985739462e+01, 0.000000000000000000e+00, 3.753443047889673423e+00
1.061295959087470692e+03, -4.569724541142405883e-15, 7.573731428143398148e+01, 0.000000000000000000e+00, 3.819713422797190727e+00
1.065029263343963748e+03, 5.107824874484500844e-15, 7.453543381196871564e+01, 0.000000000000000000e+00, 3.873261592208037563e+00
1.068002525098031583e+03, -3.114701255786474086e-18, 7.357742908247783475e+01, 0.000000000000000000e+00, 3.915911571308610561e+00
1.070343882695038019e+03, 8.061482257444892725e-15, 7.282388674567063447e+01, 0.000000000000000000e+00, 3.949493601723398140e+00
1.072171427617674453e+03, 3.373672458361082899e-15, 7.223735855964137897e+01, 0.000000000000000000e+00, 3.975697405277181851e+00
1.073523811558235366e+03, 1.127773430198430975e-14, 7.162595696567125003e+01, 0.000000000000000000e+00, 4.000000000000000000e+00
1.073524280937669346e+03, 2.499999999999998934e+01, 7.163867580246163413e+01, 5.000000000000000000e-01, 0.000000000000000000e+00
1.072077172856576453e+03, 2.499999999999998934e+01, 7.170869513360875658e+01, 5.000000000000000000e-01, 2.430259472281824998e-02
1.070212893407470801e+03, 2.500000000000002842e+01, 7.187088882401963019e+01, 5.000000000000000000e-01, 5.050639827660199921e-02
1.067816494711209998e+03, 2.499999999999999289e+01, 7.196966763538910072e+01, 5.000000000000000000e-01, 8.408842869138971610e-02
1.064770529220037361e+03, 2.499999999999998934e+01, 7.200217592884155238e+01, 5.000000000000000000e-01, 1.267384077919622709e-01
1.060946473656119906e+03, 2.500000000000002487e+01, 7.194396081878868188e+01, 5.000000000000000000e-01, 1.802865772028094671e-01
1.056218692874462249e+03, 2.500000000000001066e+01, 7.172214849811044246e+01, 5.000000000000000000e-01, 2.465569521103265771e-01
1.050490163834075702e+03, 2.499999999999996092e+01, 7.118037641626267487e+01, 5.000000000000000000e-01, 3.271265530007564371e-01
1.043701382876868138e+03, 2.499999999999999645e+01, 7.029179368204459877e+01, 5.000000000000000000e-01, 4.229896471978613626e-01
1.035848102026656989e+03, 2.500000000000001421e+01, 6.911881351926061257e+01, 5.000000000000000000e-01, 5.341638050791903680e-01
1.027012978105385173e+03, 2.500000000000000355e+01, 6.775613049771267526e+01, 5.000000000000000000e-01, 6.593271691796573908e-01
1.017365137756464264e+03, 2.500000000000000000e+01, 6.646371722050749042e+01, 5.000000000000000000e-01, 7.956214758991604352e-01
1.007175583947043378e+03, 2.499999999999997868e+01, 6.565530208602419293e+01, 5.000000000000000000e-01, 9.387549685340326189e-01
9.968444040313545429e+02, 2.500000000000000000e+01, 6.538209237099222548e+01, 5.000000000000000000e-01, 1.083463136197525767e+00
9.867900938388399936e+02, 2.500000000000002487e+01, 6.549147578328262398e+01, 5.000000000000000000e-01, 1.224247633648195999e+00
9.773749413793481153e+02, 2.500000000000000711e+01, 6.587998131455599093e+01, 5.000000000000000000e-01, 1.356185914353831290e+00
9.688704756046724924e+02, 2.499999999999999289e+01, 6.649178707413774703e+01, 5.000000000000000000e-01, 1.475569360029119759e+00
9.614389204181109108e+02, 2.500000000000002487e+01, 6.728225821304336307e+01, 5.000000000000000000e-01, 1.580210469289622388e+00
